計測名,至適速度
計測日時,2021/4/19 13:58
動画 オフセット(sec),0
,
センサ名,センサー1
パラメータ名,電圧
,
サンプリング周波数,1000
データビット数,12
,
,
,
No,電圧
6926,0.006690979
6927,0.04416084
6928,0.0521903
6929,0.09769011
6930,0.1458654
6931,0.1458654
6932,0.1967177
6933,0.1217775
6934,-0.1860118
6935,-0.1405129
6936,-0.05754328
6937,-0.06557274
6938,-0.0521903
6939,-0.02810287
6940,-0.02810287
6941,-0.1057191
6942,-0.07627821
6943,-0.04416132
6944,-0.004014492
6945,-0.006691456
6946,-0.0227499
6947,-0.03077888
6948,-0.02007341
6949,-0.01739693
6950,-0.02542591
6951,-0.03077888
6952,-0.03880835
6953,-0.03880835
6954,-0.03345537
6955,-0.03613186
6956,-0.02542591
6957,-0.01472044
6958,-0.02007341
6959,-0.03613186
6960,-0.04416132
6961,-0.04148436
6962,-0.04951429
6963,-0.05754328
6964,-0.05486679
6965,-0.03880835
6966,-0.04951429
6967,-0.04683733
6968,-0.03613186
6969,-0.01739693
6970,0.004014969
6971,-0.001338482
6972,-0.006691456
6973,0.01204395
6974,0.004014969
6975,-0.01739693
6976,-0.03613186
6977,-0.03880835
6978,-0.02542591
6979,-0.01739693
6980,-0.02542591
6981,-0.0227499
6982,-0.004014492
6983,-0.009367466
6984,0.01472044
6985,0.02274942
6986,0.01739693
6987,0.02274942
6988,-0.001338482
6989,-0.03613186
6990,-0.04951429
6991,-0.06021976
6992,-0.04148436
6993,-0.01472044
6994,0.02274942
6995,0.02007341
6996,0.01739693
6997,0.03880835
6998,0.03880835
6999,0.02274942
7000,0.004014969
7001,-0.01472044
7002,-0.01739693
7003,-0.01739693
7004,-0.02542591
7005,-0.01472044
7006,-0.004014492
7007,-0.01204395
7008,-0.006691456
7009,0.02542639
7010,0.04951382
7011,0.0521903
7012,0.04951382
7013,0.04148483
7014,0.02007341
7015,-0.02810287
7016,-0.02007341
7017,0.006690979
7018,0.006690979
7019,0.01204395
7020,0.02542639
7021,0.004014969
7022,-0.04148436
7023,-0.1003666
7024,-0.1324835
7025,-0.1485419
7026,-0.1324835
7027,-0.09501362
7028,-0.03613186
7029,0.001338005
7030,0.03345537
7031,0.08430767
7032,0.08163166
7033,0.03880835
7034,-0.03345537
7035,-0.0521903
7036,-0.04951429
7037,-0.04148436
7038,-0.03345537
7039,-0.03077888
7040,-0.03880835
7041,-0.03880835
7042,-0.04416132
7043,-0.04683733
7044,-0.02542591
7045,-0.009367466
7046,0.006690979
7047,0.009367943
7048,0.01204395
7049,0.02007341
7050,0.0281024
7051,-0.01472044
7052,-0.04416132
7053,-0.04683733
7054,-0.02542591
7055,0.006690979
7056,0.03880835
7057,0.03077936
7058,0.001338005
7059,-0.07092571
7060,-0.06289577
7061,-0.03880835
7062,-0.01739693
7063,-0.001338482
7064,0.01204395
7065,0.03077936
7066,0.03880835
7067,0.0281024
7068,0.01472044
7069,0.001338005
7070,-0.01472044
7071,-0.01204395
7072,-0.01204395
7073,-0.04148436
7074,-0.06824923
7075,-0.0521903
7076,-0.01472044
7077,0.009367943
7078,0.009367943
7079,0.006690979
7080,0.001338005
7081,0.009367943
7082,0.0281024
7083,0.0281024
7084,-0.006691456
7085,-0.02007341
7086,-0.02542591
7087,-0.0227499
7088,-0.03077888
7089,-0.04683733
7090,-0.06289577
7091,-0.05486679
7092,-0.04416132
7093,-0.04683733
7094,-0.04416132
7095,-0.03880835
7096,-0.04148436
7097,-0.04148436
7098,0.001338005
7099,0.006690979
7100,-0.01204395
7101,0.02274942
7102,0.07092571
7103,0.04683781
7104,0.04148483
7105,0.01739693
7106,-0.01204395
7107,0.006690979
7108,0.004014969
7109,-0.02007341
7110,-0.009367466
7111,0.001338005
7112,-0.0227499
7113,-0.02542591
7114,-0.01739693
7115,-0.01204395
7116,-0.01204395
7117,-0.0227499
7118,-0.02542591
7119,-0.03345537
7120,-0.03880835
7121,-0.03613186
7122,-0.03880835
7123,-0.0227499
7124,-0.004014492
7125,0.01739693
7126,0.02007341
7127,0.009367943
7128,-0.004014492
7129,-0.02007341
7130,-0.01472044
7131,0.004014969
7132,0.006690979
7133,-0.02007341
7134,-0.03880835
7135,-0.03345537
7136,-0.03345537
7137,-0.0227499
7138,-0.01472044
7139,-0.01204395
7140,-0.01472044
7141,-0.02542591
7142,-0.0227499
7143,-0.02007341
7144,-0.03345537
7145,-0.04148436
7146,-0.02542591
7147,-0.03345537
7148,-0.03077888
7149,-0.04148436
7150,-0.01472044
7151,0.03613186
7152,0.06289625
7153,0.0521903
7154,0.001338005
7155,-0.01739693
7156,-0.04148436
7157,-0.03613186
7158,-0.01739693
7159,-0.01739693
7160,0.001338005
7161,0.02274942
7162,0.03345537
7163,0.01204395
7164,-0.01204395
7165,-0.0521903
7166,-0.03880835
7167,-0.02810287
7168,-0.01204395
7169,-0.01204395
7170,-0.01204395
7171,-0.009367466
7172,-0.006691456
7173,-0.01739693
7174,-0.02810287
7175,-0.01739693
7176,-0.009367466
7177,-0.004014492
7178,-0.01204395
7179,-0.0227499
7180,-0.02542591
7181,-0.02810287
7182,-0.0227499
7183,-0.01472044
7184,-0.01204395
7185,-0.01204395
7186,-0.01204395
7187,-0.01472044
7188,-0.01472044
7189,-0.01472044
7190,-0.01204395
7191,-0.009367466
7192,-0.01472044
7193,-0.004014492
7194,-0.001338482
7195,-0.006691456
7196,-0.01204395
7197,-0.004014492
7198,-0.009367466
7199,-0.01204395
7200,-0.02542591
7201,-0.02810287
7202,-0.02007341
7203,-0.0227499
7204,-0.0227499
7205,-0.03345537
7206,-0.03613186
7207,-0.03613186
7208,-0.03880835
7209,-0.01204395
7210,0.0281024
7211,0.0281024
7212,0.004014969
7213,-0.01204395
7214,-0.0227499
7215,-0.006691456
7216,-0.006691456
7217,-0.004014492
7218,0.02007341
7219,0.01204395
7220,-0.01739693
7221,-0.01739693
7222,-0.04683733
7223,-0.04951429
7224,-0.02542591
7225,-0.001338482
7226,-0.004014492
7227,-0.006691456
7228,0.001338005
7229,-0.01739693
7230,-0.01204395
7231,-0.009367466
7232,-0.01204395
7233,-0.004014492
7234,-0.009367466
7235,-0.01739693
7236,-0.01739693
7237,-0.01472044
7238,-0.01472044
7239,-0.01739693
7240,-0.01472044
7241,-0.02007341
7242,-0.0227499
7243,-0.03880835
7244,-0.0736022
7245,-0.07627821
7246,-0.06824923
7247,-0.04951429
7248,0.01204395
7249,0.04416084
7250,0.06557226
7251,0.08698416
7252,0.0789547
7253,0.09769011
7254,0.07092571
7255,-0.009367466
7256,-0.06557274
7257,-0.06289577
7258,-0.05486679
7259,-0.05486679
7260,-0.04148436
7261,-0.02542591
7262,-0.02007341
7263,-0.01472044
7264,-0.01472044
7265,-0.01472044
7266,-0.02007341
7267,-0.02810287
7268,-0.01472044
7269,-0.004014492
7270,-0.004014492
7271,-0.001338482
7272,-0.03345537
7273,-0.03880835
7274,-0.02007341
7275,-0.01204395
7276,0.004014969
7277,0.006690979
7278,0.006690979
7279,0.001338005
7280,-0.004014492
7281,-0.01472044
7282,-0.04416132
7283,-0.07627821
7284,-0.07895517
7285,-0.02542591
7286,0.006690979
7287,0.01472044
7288,0.04416084
7289,0.06824923
7290,0.02542639
7291,-0.004014492
7292,0.004014969
7293,0.004014969
7294,0.001338005
7295,-0.01472044
7296,-0.009367466
7297,-0.02007341
7298,-0.02810287
7299,-0.02810287
7300,-0.01204395
7301,-0.01472044
7302,-0.004014492
7303,-0.006691456
7304,-0.004014492
7305,-0.01739693
7306,-0.0227499
7307,0.001338005
7308,-0.001338482
7309,-0.01472044
7310,-0.03880835
7311,-0.03613186
7312,-0.03077888
7313,-0.02810287
7314,-0.02542591
7315,-0.0227499
7316,-0.02007341
7317,-0.01204395
7318,-0.004014492
7319,-0.006691456
7320,-0.004014492
7321,-0.001338482
7322,-0.006691456
7323,0.006690979
7324,-0.006691456
7325,-0.02007341
7326,-0.0227499
7327,-0.0227499
7328,-0.02007341
7329,-0.0227499
7330,-0.0227499
7331,-0.03613186
7332,-0.05486679
7333,-0.03613186
7334,-0.02542591
7335,-0.006691456
7336,0.009367943
7337,-0.009367466
7338,-0.006691456
7339,-0.001338482
7340,0.001338005
7341,0.02542639
7342,0.03345537
7343,0.03345537
7344,0.001338005
7345,-0.02810287
7346,-0.01739693
7347,-0.02810287
7348,-0.03077888
7349,-0.04148436
7350,-0.06021976
7351,-0.06021976
7352,-0.04683733
7353,-0.03345537
7354,-0.009367466
7355,-0.001338482
7356,-0.006691456
7357,0.006690979
7358,-0.001338482
7359,-0.006691456
7360,0.03613186
7361,0.07092571
7362,0.03345537
7363,0.01739693
7364,0.009367943
7365,-0.006691456
7366,-0.0227499
7367,-0.03880835
7368,-0.05754328
7369,-0.06021976
7370,-0.04951429
7371,-0.0521903
7372,-0.04416132
7373,-0.03880835
7374,-0.03077888
7375,-0.03077888
7376,-0.02810287
7377,-0.01472044
7378,-0.01204395
7379,-0.009367466
7380,0.004014969
7381,-0.01472044
7382,-0.006691456
7383,-0.006691456
7384,-0.0227499
7385,-0.02007341
7386,-0.006691456
7387,-0.001338482
7388,-0.001338482
7389,-0.02007341
7390,-0.03077888
7391,-0.04683733
7392,-0.03880835
7393,-0.02542591
7394,-0.03077888
7395,-0.0227499
7396,-0.01204395
7397,0.01472044
7398,-0.006691456
7399,0.02007341
7400,0.0521903
7401,0.03613186
7402,0.03613186
7403,0.03613186
7404,0.02274942
7405,0.01472044
7406,-0.01739693
7407,-0.01472044
7408,-0.004014492
7409,-0.02007341
7410,-0.06289577
7411,-0.06021976
7412,-0.02810287
7413,0.006690979
7414,0.009367943
7415,-0.006691456
7416,-0.01739693
7417,-0.02810287
7418,-0.001338482
7419,0.01204395
7420,0.01739693
7421,-0.001338482
7422,-0.009367466
7423,-0.0227499
7424,-0.06289577
7425,-0.05754328
7426,-0.04148436
7427,-0.04416132
7428,-0.05754328
7429,-0.0521903
7430,-0.01472044
7431,0.01472044
7432,0.01472044
7433,-0.004014492
7434,-0.0227499
7435,-0.04683733
7436,-0.04683733
7437,-0.02007341
7438,-0.02542591
7439,-0.006691456
7440,0.01472044
7441,0.0281024
7442,0.02007341
7443,-0.01472044
7444,-0.02542591
7445,-0.0227499
7446,-0.009367466
7447,0.01204395
7448,0.001338005
7449,-0.004014492
7450,0.004014969
7451,0.006690979
7452,0.001338005
7453,-0.02007341
7454,-0.03880835
7455,-0.02542591
7456,0.004014969
7457,-0.009367466
7458,-0.02007341
7459,-0.02542591
7460,-0.01739693
7461,-0.01739693
7462,-0.01739693
7463,-0.01472044
7464,-0.02007341
7465,-0.01472044
7466,-0.01204395
7467,-0.01739693
7468,-0.009367466
7469,-0.01204395
7470,-0.01204395
7471,-0.01204395
7472,-0.01472044
7473,-0.01204395
7474,-0.009367466
7475,-0.006691456
7476,-0.006691456
7477,-0.009367466
7478,-0.001338482
7479,0.001338005
7480,-0.006691456
7481,-0.009367466
7482,-0.01739693
7483,-0.01204395
7484,-0.01472044
7485,-0.006691456
7486,-0.001338482
7487,-0.006691456
7488,-0.006691456
7489,0.006690979
7490,0.004014969
7491,-0.001338482
7492,-0.006691456
7493,-0.004014492
7494,-0.004014492
7495,-0.01472044
7496,-0.0227499
7497,-0.02542591
7498,-0.0227499
7499,-0.03077888
7500,-0.04148436
7501,-0.03345537
7502,-0.01739693
7503,-0.01204395
7504,-0.01472044
7505,0.004014969
7506,0.02274942
7507,0.006690979
7508,-0.01739693
7509,-0.03880835
7510,-0.04683733
7511,-0.03613186
7512,-0.0227499
7513,-0.01739693
7514,-0.01204395
7515,-0.01739693
7516,-0.006691456
7517,-0.01472044
7518,-0.01739693
7519,-0.02007341
7520,-0.01739693
7521,-0.01739693
7522,-0.01204395
7523,-0.009367466
7524,-0.009367466
7525,-0.009367466
7526,-0.01204395
7527,-0.009367466
7528,-0.01204395
7529,-0.01204395
7530,-0.01204395
7531,-0.01472044
7532,-0.02007341
7533,-0.02810287
7534,-0.03345537
7535,-0.03613186
7536,-0.04683733
7537,-0.03880835
7538,-0.03077888
7539,-0.03077888
7540,-0.004014492
7541,-0.02007341
7542,-0.04683733
7543,-0.02542591
7544,0.01204395
7545,0.02274942
7546,0.0281024
7547,0.1083956
7548,0.02007341
7549,-0.05486679
7550,0.03345537
7551,-0.08698416
7552,-0.13516
7553,0.03077936
7554,0.3385692
7555,0.3546276
7556,0.1592479
7557,-0.03345537
7558,-0.2502465
7559,-0.07895517
7560,0.1565714
7561,0.2448936
7562,0.08698416
7563,-0.1057191
7564,-0.1512189
7565,-0.2689819
7566,-0.4590082
7567,-0.4028034
7568,-0.1672773
7569,-0.01472044
7570,0.01739693
7571,0.1378365
7572,0.1726298
7573,0.1993942
7574,0.13516
7575,0.129807
7576,-0.0521903
7577,-0.2850404
7578,-0.3787155
7579,-0.3332162
7580,-0.24757
7581,-0.2154531
7582,-0.05486679
7583,0.02274942
7584,0.004014969
7585,0.05754328
7586,0.1726298
7587,0.3198342
7588,0.258276
7589,0.03613186
7590,-0.1405129
7591,-0.2502465
7592,-0.1779828
7593,-0.07627821
7594,0.03077936
7595,0.0521903
7596,0.04951382
7597,0.1083956
7598,0.2181292
7599,0.2743344
7600,0.1699538
7601,0.2395406
7602,0.1512184
7603,-0.09501362
7604,-0.3599806
7605,-0.3412457
7606,-0.1833358
7607,-0.08966064
7608,-0.05486679
7609,-0.03613186
7610,-0.02810287
7611,-0.01472044
7612,-0.009367466
7613,-0.01204395
7614,-0.01204395
7615,-0.02007341
7616,-0.01739693
7617,-0.001338482
7618,0.009367943
7619,0.01739693
7620,0.06289625
7621,0.07627869
7622,0.07360172
7623,0.06824923
7624,0.07627869
7625,0.08698416
7626,0.07627869
7627,0.0521903
7628,0.03077936
7629,0.01739693
7630,0.02007341
7631,-0.02810287
7632,-0.08163118
7633,-0.116425
7634,-0.07092571
7635,-0.07092571
7636,-0.03613186
7637,0.006690979
7638,0.04148483
7639,0.07627869
7640,-0.02007341
7641,-0.1592479
7642,-0.2020712
7643,-0.06824923
7644,0.08430767
7645,0.2234821
7646,0.258276
7647,0.1646008
7648,0.13516
7649,0.08163166
7650,-0.04683733
7651,0.08163166
7652,0.06557226
7653,-0.0521903
7654,0.02007341
7655,0.08698416
7656,-0.1003666
7657,-0.2341881
7658,-0.3733625
7659,-0.4590082
7660,-0.4242148
7661,-0.2930694
7662,-0.2020712
7663,-0.1137481
7664,-0.009367466
7665,0.1405129
7666,0.3599806
7667,0.4964786
7668,0.4563317
7669,0.2823639
7670,-0.04683733
7671,-0.3358927
7672,-0.3894215
7673,-0.244894
7674,-0.1110721
7675,-0.08430767
7676,-0.03077888
7677,-0.01472044
7678,0.004014969
7679,0.01472044
7680,0.009367943
7681,0.01739693
7682,0.009367943
7683,0.01472044
7684,0.02542639
7685,0.001338005
7686,-0.004014492
7687,-0.01739693
7688,0.04683781
7689,0.1458654
7690,-0.08966064
7691,-0.2823639
7692,-0.1913648
7693,-0.01472044
7694,0.1886883
7695,0.2395406
7696,0.1646008
7697,0.004014969
7698,0.09233713
7699,0.1030431
7700,-0.06289577
7701,-0.1672773
7702,-0.09233713
7703,-0.04683733
7704,0.02007341
7705,0.03345537
7706,0.02007341
7707,0.009367943
7708,0.01472044
7709,0.1057191
7710,-0.01204395
7711,-0.3171577
7712,-0.1806593
7713,-0.01204395
7714,0.02274942
7715,0.06824923
7716,0.1003661
7717,0.1191015
7718,0.1137486
7719,0.1993942
7720,0.2261591
7721,0.02542639
7722,-0.1057191
7723,-0.07092571
7724,-0.2716579
7725,-0.3519511
7726,-0.2368646
7727,-0.1592479
7728,-0.09501362
7729,-0.02007341
7730,-0.0227499
7731,-0.06557274
7732,-0.01739693
7733,0.129807
7734,0.1833358
7735,0.06824923
7736,-0.07092571
7737,-0.1003666
7738,-0.08430767
7739,-0.07627821
7740,-0.01739693
7741,0.09769011
7742,-0.04148436
7743,-0.06289577
7744,0.04951382
7745,0.1191015
7746,0.2127767
7747,0.3573041
7748,0.4483027
7749,0.4456263
7750,0.1057191
7751,-0.2315116
7752,-0.2101002
7753,-0.2422171
7754,-0.2101002
7755,-0.119101
7756,-0.2208056
7757,-0.2957463
7758,-0.24757
7759,-0.1431894
7760,-0.05486679
7761,-0.0227499
7762,-0.0227499
7763,-0.03345537
7764,-0.03880835
7765,-0.03880835
7766,-0.03613186
7767,-0.02542591
7768,-0.009367466
7769,0.01472044
7770,0.02542639
7771,0.0281024
7772,0.0281024
7773,0.0281024
7774,0.03077936
7775,0.0521903
7776,0.06021976
7777,0.1030431
7778,0.1726298
7779,0.2743344
7780,0.2850404
7781,-0.08698416
7782,-0.3064518
7783,-0.2877169
7784,-0.2074237
7785,-0.09501362
7786,-0.0521903
7787,-0.02007341
7788,-0.02007341
7789,0.004014969
7790,0.02007341
7791,0.04416084
7792,0.06824923
7793,0.06824923
7794,0.06289625
7795,0.06557226
7796,0.06557226
7797,0.02274942
7798,-0.2208056
7799,-0.2823639
7800,-0.116425
7801,-0.0227499
7802,-0.009367466
7803,-0.03613186
7804,-0.01204395
7805,-0.006691456
7806,-0.006691456
7807,-0.01739693
7808,-0.01739693
7809,-0.006691456
7810,-0.04416132
7811,-0.08966064
7812,-0.0736022
7813,-0.01739693
7814,0.004014969
7815,0.04416084
7816,0.04148483
7817,0.03613186
7818,0.04683781
7819,0.09769011
7820,0.1833358
7821,0.03613186
7822,-0.08698416
7823,-0.01472044
7824,0.01472044
7825,0.05486679
7826,0.1110721
7827,0.06557226
7828,0.004014969
7829,-0.009367466
7830,-0.02810287
7831,-0.05754328
7832,-0.0521903
7833,-0.06824923
7834,-0.08698416
7835,0.0281024
7836,0.1886883
7837,0.2743344
7838,0.3305397
7839,0.3198342
7840,0.1164246
7841,-0.5553603
7842,-0.9728837
7843,-0.6356535
7844,-0.1833358
7845,0.1003661
7846,0.3010988
7847,0.1833358
7848,0.05754328
7849,0.1030431
7850,0.2047477
7851,0.08698416
7852,-0.04683733
7853,-0.13516
7854,-0.1378365
7855,-0.05754328
7856,-0.02007341
7857,-0.009367466
7858,-0.009367466
7859,-0.009367466
7860,-0.01204395
7861,-0.006691456
7862,-0.006691456
7863,-0.01472044
7864,-0.006691456
7865,0.004014969
7866,-0.02007341
7867,0.03880835
7868,0.05754328
7869,0.03345537
7870,0.03077936
7871,0.05486679
7872,0.1003661
7873,-0.07627821
7874,-0.2074237
7875,-0.1779828
7876,-0.06557274
7877,0.006690979
7878,0.03077936
7879,0.01204395
7880,-0.01739693
7881,0.006690979
7882,0.02007341
7883,0.04416084
7884,0.06021976
7885,0.1137486
7886,0.2127767
7887,-0.04148436
7888,-0.2422171
7889,-0.1753063
7890,-0.07895517
7891,-0.0521903
7892,-0.07092571
7893,-0.09768963
7894,-0.1458659
7895,-0.129807
7896,-0.06021976
7897,0.01204395
7898,0.1003661
7899,0.266305
7900,0.2395406
7901,0.001338005
7902,-0.3358927
7903,-0.09501362
7904,0.1164246
7905,-0.04148436
7906,-0.1993942
7907,-0.1592479
7908,0.02274942
7909,0.1271305
7910,0.07360172
7911,-0.06289577
7912,-0.1431894
7913,-0.1057191
7914,-0.04951429
7915,-0.03345537
7916,-0.01204395
7917,-0.001338482
7918,0.05486679
7919,0.09501314
7920,0.1083956
7921,0.1431894
7922,0.1913652
7923,0.2368646
7924,0.04416084
7925,-0.01472044
7926,-0.116425
7927,-0.1512189
7928,-0.3332162
7929,-0.4590082
7930,-0.01472044
7931,0.4830966
7932,0.1271305
7933,-0.3974504
7934,-0.06557274
7935,0.1967177
7936,0.02274942
7937,-0.1057191
7938,-0.07895517
7939,-0.03345537
7940,-0.03345537
7941,-0.05486679
7942,-0.04148436
7943,-0.01472044
7944,0.01204395
7945,0.01204395
7946,0.001338005
7947,-0.001338482
7948,-0.004014492
7949,-0.006691456
7950,-0.01204395
7951,-0.01472044
7952,-0.006691456
7953,0.001338005
7954,0.004014969
7955,-0.004014492
7956,-0.009367466
7957,-0.01204395
7958,-0.02007341
7959,-0.03345537
7960,-0.03077888
7961,-0.03077888
7962,-0.03880835
7963,-0.04683733
7964,-0.04416132
7965,-0.03077888
7966,-0.0227499
7967,-0.01472044
7968,-0.01472044
7969,-0.004014492
7970,0.004014969
7971,0.01204395
7972,0.01472044
7973,0.02274942
7974,0.02007341
7975,0.02274942
7976,0.0281024
7977,0.04416084
7978,0.04951382
7979,0.04148483
7980,0.03613186
7981,0.03077936
7982,0.0281024
7983,0.02542639
7984,0.01739693
7985,0.009367943
7986,0.006690979
7987,0.001338005
7988,-0.004014492
7989,-0.001338482
7990,0.001338005
7991,-0.02542591
7992,-0.04148436
7993,-0.03613186
7994,-0.0521903
7995,-0.04951429
7996,-0.02810287